scene,item,bgimg,charimg,message,option,note,template,music,sc_name
4-2-2-3,,補習班.jpg,"學長.png
子柔.png","我向學長報告了所有的事情，包含我們「網拍幫」的事情、8000元包裹的事情等。
學長也跟我說他自己跟朋友也都會買網拍，可以幫忙看看發生什麼問題。
一直緊繃著的心情，終於稍微舒緩了些。▼",,,extended.html,,
4-2-2-4,,補習班.jpg,"學長.png
子柔.png","學長:那你要不要把你們網拍的帳密給我，我晚點幫你們看一下？▼
子柔:我就跟你說學長會幫忙，你就不信。▼",,,extended.html,,
4-2-2-5,,補習班.jpg,,"如果我把帳密給了學長，那我們的資料跟大家買的所有東西就會被學長知道。
除了我以外，大家都不知道彼此買了什麼，這是我們的默契。▼
這樣，真的好嗎……▼",,,,,
4-2-2-6,,補習班.jpg,子柔.png,"團長:學長不好意思，我跟子柔討論一下。▼
子柔:幹嘛啦？▼
子柔:團長，我很相信你，你一直都有幫我保密，不亂說八卦。你是我唯一敢分享漫畫的朋友……
子柔:如果學長能幫忙，我們「網拍幫」的帳號就可以守住了！▼
子柔:我希望能幫上你跟「網拍幫」的忙，這次我們可以試試看相信學長。
子柔:不然你還有別的辦法嗎？▼
子柔:走嘛！團長！有個很厲害的樂團有唱一首歌叫做「相信」，我們要試著相信別人！▼",,,,,
4-2-2-7,,補習班.jpg,,我好像有點被說服，子柔拉著我回去找學長。▼,,,,,
4-2-2-8,,補習班.jpg,"學長.png
子柔.png","子柔:學長我們想拜託你！請幫幫我們！▼
學長:可以啊，那你們把帳號密碼寫在這張紙上。▼",,,extended.html,,
4-2-2-9,,補習班.jpg,"學長.png
子柔.png",學長遞過來一張紙:,"寫下「網拍幫」的網購平台帳號密碼。=>4-2-3
帳號密碼必須保密，我還是覺得這不行。=>4-2-8",4-2-3 => 子柔結局,option.html,paper.mp3,
4-2-3,旁白,補習班.jpg,,"雖然我有點懷疑子柔戀愛腦，但我也想相信子柔，相信學長！
這個世界上肯定是有好人的！相信就是力量！
",,,,,
4-2-3-0,,補習班.jpg,,"我在紙上寫下了「網拍幫」的網購平台帳號密碼交給學長。▼
 學長把這張紙放在他的桌子旁邊用尺壓著。▼",,,,writing.mp3,
4-2-3-1,,補習班.jpg,"學長.png
子柔.png","學長:好，那我晚點幫你看一下，看結果怎樣再跟子柔說喔。▼
子柔:好！謝謝學長！▼
團長:謝謝學長！▼",,,extended.html,,
4-2-3-2,旁白,學校教室-日.jpg,黑幕,"跟子柔道別之後，我就回家了。
今晚總算能睡個好覺了！▼
",,,,,
4-2-4,,團長房間_夜.jpg,,,,,,,
4-2-4-1,旁白,團長房間_夜.jpg,,晚上，我的手機突然一直震動，我有不好的預感……▼,,,,phone-vibration.mp3,
4-2-4-2,,,line_4242.gif,,,"阿哲:大家！快去看「兜音」的熱門，有一部叫做「買這個笑死！現在小學生超有錢！」，裡面曝光了我們網拍幫帳號的購買紀錄！😱
 [買這個笑死！現在小學生超有錢！影片連結]
 
子柔: 子柔:什麼？！不可能吧！裡面不會有我的漫畫吧？😨
 
阿高: 天啊！我在球鞋上面花的錢被發現了！😱
 
小辛: 😡
 
團長: 完惹，我們的秘密曝光了！😭
 
子柔: 我們要趕快想辦法，我可不想被家人知道我看這些漫畫！🥺
 
阿哲: 唉...在下要被認為是色狼了，這下慘了...😔
 
小辛:先讓我冷靜一下……😶
 
阿哲: 是誰放的？那個人一定知道我們的秘密。🤔
 
阿高: 怎麼辦？😓
 
團長: 首先，子柔你先連絡學長。然後，我們要想辦法讓這部影片下架！💪
 
子柔: 好！我趕快打給他😰
 
團長: 阿哲、阿高、小辛，你們想辦法找「兜音」的客服，看能不能把影片刪掉。😤
 
阿高: 我們要團結起來！👊
 
小辛: 🤝
 
阿哲: 計劃通！🚀
 
阿高: 絕對不能被家人知道！💥
 
小辛: 😤▼
",msg_page.html,,
4-2-4-3,旁白,團長房間_夜.jpg,,"稍晚，子柔打給我，哭哭啼啼的說著他跟學長溝通的經過。
學長說那張寫著密碼的紙被他哥哥拿去，他也不知道會變成這樣。▼
子柔說學長現在嫌麻煩不想處理，隨意打發之後掛了她的電話。
我也只能安慰子柔，事情都發生了，怪誰都沒有意義。▼
",,,,,
4-2-4-4,旁白,團長房間_夜.jpg,,"晚上睡前，我一個人滑手機看著「買這個笑死！現在小學生超有錢！」的影片留言。
酸民為什麼會說這麼過分的話？▼
我不懂，我們只是一群小朋友存錢買了自己喜歡的東西，為什麼要被說得那麼難聽？▼
我以後一定不要變成這種人。▼
眼淚一直掉下來。▼
我好難過。▼
唉……明天告訴老師吧。▼
",,,,,
4-2-5,,學校教室-日.jpg,,,,,,,
4-2-5-1,旁白,學校教室-日.jpg,,"阿哲說他聯絡了「兜音」客服之後，影片被下架了。 
但是子柔的補習班同學們都看過了這支影片，而且風聲已經傳到學校同學這裡。▼
而且包裹的問題還沒解決，事情越來越複雜了。
為了避免事情變得更糟，跟大家討論之後，我們決定一起去告訴老師。▼

",,,,,
4-2-5-2,,學校教室-日.jpg,"老師.png
子柔難過擔心.png","老師一臉平靜地問了我們幾個問題，像是什麼時候發生的、我們做了哪些事等。▼
老師:為什麼現在才來跟老師講？▼
子柔:老師對不起……我們很怕爸爸媽媽知道會生氣……▼
老師:唉！這些都是學校之前宣導過的事情……▼
老師:總之先解決問題，其他事之後再討論，你們先回位子上，放學的時候來老師這邊集合。▼",,,extended.html,,
4-2-5-3,旁白,學校教室-日.jpg,,"老師去了學務處一趟，還打了好幾通電話，應該是打給我們的爸媽。
我緊張到手心都是汗，但如今也只能這樣。▼
",,,,,
4-2-6,,便利商店.jpg,,,,便利商店(夕),,,
4-2-6-1,旁白,便利商店.jpg,,"放學後，我們就像母雞帶小雞一樣跟在老師的背後，去了我們常去取貨的便利商店。▼
看到旁邊一直飄來好奇的目光，好丟臉！▼
老師請店員拿包裹過來，店員一臉尷尬的看著我們，真的好丟臉！▼
我的臉脹得通紅，偷瞄了一下大家，所有人都把頭低到最低，看來我並不孤單……
我不敢再來這間店買東西了……▼
老師請店員協助處理之後，花了一些時間跟我們解釋了什麼是包裹詐騙，以及網路安全的重要性。
也跟我們解釋未成年買網拍、盜用別人帳號的法律問題，我們才知道，原來之前好像吃飯喝水一樣輕鬆的事情，其實暗藏了很多危險。▼",,便利商店(夕),,,
4-2-6-2,旁白,便利商店.jpg,,"之後老師把我們一一送回家，並且告訴了家人這件事情的始末。
我們全部都被家人狠狠地罵了一頓。▼",,便利商店(夕),,,
4-2-7,,學校門口-日.jpg,,,,,,,
4-2-7-1,,學校門口-日.jpg,,"隔天來學校的時候，老師詢問子柔是否願意藉由這次的事件，跟班上的同學分享帳號保密的重要性。▼
子柔答應了，因為她希望不要有其他同學跟他一樣，結果把事情越弄越糟。
我很佩服子柔，因為能在大家面前承認自己做錯，真的很勇敢，至少我覺得自己沒辦法做到。▼
 
我們扎扎實實的上了一堂關於網路安全的宣導，其實當初我們應該可以做出更好的選擇。▼
 
之後，子柔說她的漫畫被沒收。▼
阿高因為偷拿爸媽的錢被修理。▼
阿哲的景品收藏被收進倉庫。▼
小辛一言不發，一雙眼睛哭的腫腫的，我不敢多問。▼
我們的帳號被沒收了，網拍幫正式解散。▼
",,,,,
4-2-7-2,,學校教室-日.jpg,黑幕,"事情結束了。▼
網拍幫的群組沒人再說過話。
我們也不敢再去那間便利商店喝飲料聊天。
感覺有點寂寞。▼
 
往好處想，我們都平安，沒有發生更嚴重的事情，已經夠幸運了。
但我總是不免去想，如果當初能夠做出其他選擇，事情會不會有不同的發展。▼
 
客服。
對了！當初怎麼沒有想到先去問網拍客服呢？
唉，網路好可怕。▼",,,,,
4-2-7-3,,黑幕,,終。,"重新開始=>play
再做一次選擇=>4-1-1",子柔結局,option.html,,
4-2-8,,補習班.jpg,,,,,,,
4-2-8-1,旁白,補習班.jpg,,"突然有一種感覺。▼
我覺得事情變得這麼複雜，一定是因為我們做錯了什麼，而且一錯再錯。
抱歉了，子柔的戀愛。▼
這次，我要做對的選擇！▼
",,,,,
4-2-8-2,,補習班.jpg,"學長.png
子柔.png","團長:不行！子柔，我們不能寫。▼
子柔:為什麼？不是剛剛都說好了嗎？▼
團長:老師說過，帳號密碼不要隨便寫在紙上、不能隨便給別人，你那麼認真，一定記得。▼
團長:我有種感覺，我們不能再做錯事了！▼",,,extended.html,,
4-2-8-3,旁白,補習班.jpg,子柔苦惱.png,"子柔的表情很複雜，她看起來非常苦惱。
最後整張臉皺的像一團衛生紙，我猜大概準備要放棄了。
畢竟子柔大部分都很聽老師的話，大部分。▼",,,,,
4-2-8-4,,補習班.jpg,"學長.png
子柔.png","子柔:我不管了，你要想更好的辦法。▼
學長:你們小劇場太多了吧？要不要想好再來？▼
團長:學長抱歉，我們還是自己想辦法吧。▼
子柔:我搞不懂你，看怎樣再跟我說吧，我要去念書了。▼",,,extended.html,,
4-2-8-5,旁白,補習班.jpg,子柔苦惱.png,"子柔垮著一張臉走進補習班教室。▼
沒時間了，這次我要做出對的選擇。▼",(4-1-2),,,,
4-3,,操場-日.jpg,,,,,,,
4-3-1,旁白,操場-日.jpg,,"我記得「比卡」是一個只有大人可以用的網站，上面有很多人會問問題 ，也會有很多人回答你的問題。
重點是，他可以匿名。▼
先不管阿高是怎麼弄到比卡的帳號，又可以匿名又有人可以解決問題……太符合現在的狀況了！▼
總之先去球場，那邊一定可以遇到阿高。▼
",,,,,
4-3-1-1,,操場-日.jpg,阿高.png,"團長:阿高～外找～！！！▼
阿高:怎樣？找我喔？▼
團長:對啊，沒轍了，只能靠你用「比卡」問一下，幫嗎？▼
阿高:哈～果然還是我比較聰明，走啊！去我家。▼",,,,,
4-3-2,,阿高房間.jpg,,,,,,,
4-3-2-1,旁白,阿高房間.jpg,,我們來到了阿高的房間，阿高打開電腦。▼,,,,,
4-3-2-2,,阿高房間.jpg,阿高.png,"阿高:萬能的比卡，請賜我們神奇的力量！▼
阿高:然後咧？我們要問什麼？▼
團長:我們有8000塊取貨付款還卡在便利店的事情，這麼嚴重，你怎麼會忘記？傻眼！▼
阿高:啊我不知道怎麼問啊？不然帶你來幹嘛？▼
團長:起來換我坐啦！▼",,,,,
4-3-2-3,旁白,阿高房間.jpg,,我坐在阿高的電腦前，把我們的狀況寫成一篇文章。▼,,,,typing.mp3,
4-3-2-4,,阿高房間.jpg,dcard_4324.jpg,,,"娃哭娃哭
大家好！👋
最近遇到一個超級大麻煩，真的需要大家的幫忙！🥺
 
前幾天，我收到了一封信💌，信裡面說我有個包裹要去取，
要不然我的網拍帳號可能會被取消😱，還要負擔法律責任！😭 
這個包裹居然要8000元才能拿！超扯💸
 
我已經努力試著湊錢了，但是怎麼湊都湊不出8000元！💔 
現在真的好苦惱，因為我不想失去我的網拍帳號，也不想被抓去警察局啊！😫
 
所以，我來求助大家🙏
希望大家能給我一些建議，教我該怎麼辦才好。🤔
 
如果有人能幫忙解決這個問題，我一定會非常感激的！🥰 
請大家幫幫忙吧！🆘
感謝大家！🙌▼
",msg_page.html,,
4-3-2-5,,阿高房間.jpg,阿高.png,"團長:怎麼樣，很有feel對吧？▼
阿高:看起來很……遜。▼
團長:啊不然你自己寫啊？要我寫又愛嫌！奇怪耶！▼
阿高:好啦好啦！你寫的很棒！讚！第一名！▼
阿高:欸不是，是你來拜託我幫忙耶，兇屁喔？▼
團長:好啦快PO啦！不然你以後沒地方買球鞋了！▼
阿高:哭啊！▼
我跟阿高總是習慣這樣嗆來嗆去，這個時候鬥嘴讓我沒那麼緊張了。▼
阿高:３、２、１，PO文！▼",,,,,
4-3-2-6,論壇,阿高房間.jpg,dcard_4326.jpg,,,"ＡＡ大學
這裡是感情版，你走錯地方？
這樣的問題應該去求助版？？
 
ＢＢ技術學院
什麼小孩子的事情也跑來這裡PO？ 無聊😒
 
ＣＣ大學
小朋友，你的問題我們可能也幫不了你，不如回家跟爸爸媽媽好好商量一下？
寫得很可愛，加油！💪 
 
美有姬
暑假了嗎？鬼門還沒開吧？🤔
 
ＤＤ大學
這年頭的小孩子怎麼都這麼會上網？ 
話說回來，這個問題真的不適合在感情版討論，建議你去其他版詢問一下😅▼
",msg_page.html,,
4-3-2-7,,阿高房間.jpg,阿高.png,"團長:他們怎麼知道我們是小孩？▼
阿高:問我？▼
阿高:現在怎辦？▼
團長:再等等看好了，我覺得一定會有人來幫忙。▼
阿高:好喔。▼",,,,,
4-3-2-8,,阿高房間.jpg,阿高.png,就在跑出了好幾個類似的回覆之後，一條回覆吸引了我跟阿高的注意。▼,,,,,
4-3-2-9,,阿高房間.jpg,dcard_4329.jpg,,,"真心人
嗨！我之前也遇到過類似的狀況，也是被要求付一筆我無法負擔的金額。
後來我發現了一個解決問題的方法，真的超級有效！ 
我建議你可以點下面這個連結，裡面有詳細的解決方法，相信對你會有幫助😄
要解決請點我
 
我用這個方法成功解決了上次的問題，現在跟你分享，希望你也能順利度過難關！加油💪！▼
",msg_page.html,,
4-3-2-10,,阿高房間.jpg,阿高.png,"阿高:有好人耶！▼
團長:總覺得哪裡怪。▼
阿高:來PO文就是想要有人幫忙，有人幫忙又要嫌人家怪，你才怪。▼
團長:回文問一下好了。▼",,,,,
4-3-2-11,論壇,阿高房間.jpg,dcard_43211.jpg,,,"---------------------------------------------------------------- 
娃哭娃哭
真的嗎？ 那個連結真的可以解決我的問題嗎😯▼
---------------------------------------------------------------- 
馬上迸出了更多條回文。▼
---------------------------------------------------------------- 
ＥＥ科技大學
不敢點就別瞎問，怕什麼？😒
 
名字隨便取
笑爛～🤪
 
ＦＦ大學
看就知道不行還問～😏
 
不要踩我的切爾西
小朋友別怕，點一下就解決了，我們都是好心人在幫你！（反串要註明）🤗
 
C8763
怕什麼？點下去😈
 
幫我撐十秒
看就知道在騙，再演就不像了🤔
 
風鈴扛蛋
啪！沒了😜
 
匿名
不要在那邊，點啦！😒
 
匿名
寄了🫡
 
今晚打老虎
GG 💪▼
",msg_page.html,,
4-3-2-12,,阿高房間.jpg,阿高.png,"阿高:點了啦！大家都說可以點！▼
團長:可是有人說沒了。▼
阿高:搞不好他是在說點下去問題就沒了啊！▼
團長:可是……▼
阿高看了一下時鐘，突然緊張起來。▼
阿高:團長你快點啦！你不點我就點了！我姐快回來了！▼
阿高:點下去又不會怎樣，要是真的怎樣了，點上一頁就好啊！快點啦！▼",,,,,
4-3-2-13,旁白,阿高房間.jpg,,"阿高已經把游標移到真心人給的連結上，怎麼辦！
","讓阿高點下去，反正真的有什麼狀況，大不了按上一頁就搞定了。 =>4-3-3
不行，一定要阻止阿高！=>4-3-8",4-3-3 (阿高結局),option.html,,
4-3-3,旁白,阿高房間.jpg,,"阿高點了連結。▼
出現比卡「請輸入您的帳號密碼」的畫面。(假)
阿高把帳號密碼輸入進去，按下Enter。▼
接著畫面一片空白，什麼也沒有。▼
大事不妙！▼",,,,type_click.mp3,
4-3-3-1,,阿高房間.jpg,阿高驚訝.png,團長:快點上一頁！▼,,,,,
4-3-3-2,旁白,阿高房間.jpg,,"阿高連續點了好幾次上一頁，只跳出了「錯誤」的畫面。▼
他試著打開「比卡」，卻發現自己登不進去。▼",,,,,
4-3-3-3,,阿高房間.jpg,阿高驚訝.png,阿高:芭比Ｑ了……▼,,,,,
4-3-3-4,,阿高房間.jpg,阿高姊姊.png,阿高姐姐:阿高，你在家喔？▼,,,,,
4-3-3-5,旁白,阿高房間.jpg,,"阿高姐姐回來了，阿高的臉瞬間變成白色。
我現在好像知道那個娃哭娃哭是誰了。▼
出事了。▼
",,,,,
4-3-3-6,,阿高房間.jpg,"阿高姊姊.png
阿高.png","阿高姐姐:你電腦用完沒～換我用喔。▼
阿高姐姐:你同學喔。▼
阿高:對……對啊，我們還有事，我先送他回家。▼
團長:姐姐好。▼
阿高姐姐:好喔，記得晚餐前到家，我用一下電腦。▼
阿高:好……▼
阿高姐姐:你是怎樣？怪裡怪氣的。▼
",,,extended.html,,
4-3-3-6-1,,阿高房間.jpg,阿高姊姊生氣.png,阿高姐姐:奇怪，怎麼登不進去……阿高！！！！！▼,,,,,
4-3-3-7,旁白,阿高房間.jpg,黑幕,"阿高拉著我拔腿就跑！！
衝出阿高家門瞬間，我火速把門關上！▼
順利逃脫Nice Play！▼
現在好像不是開玩笑的時候……▼
",,,,run_door.mp3,
4-3-4,,回家路上.jpg,,,,,,,
4-3-4-1,,回家路上.jpg,阿高.png,"阿高:團長……怎麼辦～我姐生氣超恐怖的……▼
團長:我不知道……▼
阿高:你家會願意收我當養子嗎？▼
團長:我有時候真的搞不清楚你是開玩笑還是認真的。▼",,,,,
4-3-4-2,,回家路上.jpg,,"阿高一直在我家待到他媽媽打電話來才回家。
我感覺他整個人的背影都變白了……
我為阿高祈禱。▼ ",,,,,
4-3-5,阿高結局 P1 ,學校門口-日.jpg,,,,,,,
4-3-5-1,旁白,學校門口-日.jpg,,"聽說阿高姐姐的帳號後來發了很多賣東西的文章，還貼了很多假連結給她的好友，害他的好幾個朋友也被盜帳號。為了避免事情變得更嚴重，阿高姐姐決定報警處理。▼
阿高被狠狠地罵了一頓，但他沒有把我們招出來，讓我很內疚。▼",,,,,
4-3-5-2,,學校門口-日.jpg,阿高.png,"團長:阿高……對不起。▼
阿高:沒關係啦，但是現在怎麼辦？▼",,,,,
4-3-5-3,旁白,學校門口-日.jpg,,"我對阿高感到非常抱歉，而包裹的問題還沒解決，事情越來越複雜。 
為了避免事情變得更糟，跟大家討論之後，我們決定一起去告訴老師。▼ ",,,,,
4-3-5-4,旁白,學校門口-日.jpg,"老師.png
阿高.png","老師一臉平靜地問了我們幾個問題，像是什麼時候發生的、我們做了哪些事等。▼ 
老師:為什麼現在才來跟老師講？▼ 
阿高:老師對不起……我以為我們可以自己解決，不知道事情會變得這麼嚴重……▼ 
老師:唉！這些都是學校之前宣導過的事情……▼ 
老師:總之先解決問題，其他事之後再討論，你們先回位子上，放學的時候來老師這邊集合。▼ ",,,extended.html,,
4-3-5-5,旁白,學校門口-日.jpg,,"老師去了學務處一趟，然後回來打了好幾通電話，應該是打給我們的爸媽。 
我緊張到手心都是汗，但如今也只能這樣。▼ ",,便利商店(夕),,,
4-3-6,阿高結局 P2,便利商店.jpg,,,,便利商店(夕),,,
4-3-6-1,旁白,便利商店.jpg,,"放學後，我們就像母雞帶小雞一樣跟在老師的背後，去了我們常去取貨的便利商店。▼ 
看到旁邊一直飄來好奇的目光，好丟臉！▼ 
老師請店員拿包裹過來，店員一臉尷尬的看著我們，真的好丟臉！▼ 
我的臉脹得通紅，偷瞄了一下大家，所有人都把頭低到最低，看來我並不孤單…… 
我不敢再來這間店買東西了……▼ 
老師請店員協助處理之後，花了一些時間跟我們解釋了什麼是包裹詐騙，以及網路安全的重要性。 
也跟我們解釋未成年買網拍、盜用別人帳號的法律問題，我們才知道，原來之前好像吃飯喝水一樣輕鬆的事情，其實暗藏了很多危險。 ▼ 
",,,,,
4-3-6-2,旁白,便利商店.jpg,,"之後老師把我們一一送回家，並且告訴了家人這件事情的始末。 
我們全部都被家人狠狠地罵了一頓。▼ ",,便利商店(夕),,,
4-3-7,阿高結局 P3,學校門口-日.jpg,,,,,,,
4-3-7-1,,學校門口-日.jpg,老師.png,"隔天來學校的時候，老師叫我們幾個集合。▼ 
老師:其實你們偷偷使用阿高姐姐的帳號，這是盜用行為，而且是違法的，其實警察可以把你們抓去關或是罰錢。▼
老師:而且你們還用了未成年不該用的網站，明明宣導時就知道這些不可以，你們還是選擇這麼做，非常不應該。▼",,,,,
4-3-7-2,,學校門口-日.jpg,,"有的時候我們會在電腦課趁別人忘記登出時，亂用別人帳號發一些搞笑的文，原來這樣也是違法的 ，我們嚇了一跳。▼
之後我們扎扎實實的上了一堂關於網路安全的宣導，其實當初我們應該可以做出更好的選擇。▼ ",,,,,
4-3-7-3,旁白,學校門口-日.jpg,阿高難過.png,"後來老師請我們先離開，但留下了阿高。
我不知道他們說了什麼，但阿高哭了。
我第一次看到阿高哭，我很難過。▼ ",,,,,
4-3-7-4,旁白,學校門口-日.jpg,,"之後，阿高的姐姐總算拿回帳號，但是她有好多文章都沒了，所以她把帳號給刪除了。▼
子柔的漫畫被沒收。▼ 
阿高被發現把東西高價轉賣給同學而被叫去學務處▼ 
阿哲的景品收藏被收進倉庫。▼ 
小辛一言不發，一雙眼睛哭的腫腫的，我不敢多問。▼ 
我們的帳號被沒收了，網拍幫正式解散。▼",,,,,
4-3-7-5,阿高結局 P4,學校教室-日.jpg,黑幕,"事情結束了。 ▼ 
網拍幫的群組沒人再說過話。 
我們也不敢再去那間便利商店喝飲料聊天。 
感覺有點寂寞。▼ 
  
往好處想，我們都平安，沒有發生更嚴重的事情，已經夠幸運了。 
但我總是不免去想，如果當初能夠做出其他選擇，事情會不會有不同的發展。▼ 

不應該亂點連結的，更不應該隨便相信網路上的留言。 
唉，網路好可怕。▼ ",,,,,
4-3-7-6,阿高結局 P4,黑幕,, 終。,"重新開始=>play
再做一次選擇=>4-1-1",阿高結局,option.html,,
4-3-8,阿高家,阿高房間.jpg,,不知道為什麼，我突然覺得有點生氣。 ▼ ,,,,,
4-3-8-1,,阿高房間.jpg,阿高.png,"團長:阿高我問你，為什麼那些回文要我們點，我們就一定要點？▼ 
阿高:對耶，為何？ ▼ 
團長:我覺得點下去才真的啪！沒了！▼ 
阿高:是喔，好吧。其實我也覺得不要點比較好，因為這個是我姐的帳號，要是出事我就芭逼Ｑ了。▼
團長:那你剛剛哪麼激動幹嘛？▼ 
阿高:就是……一種feel，覺得點下去再說啊。▼ 
團長:喔是喔，那你要是點下去芭逼Ｑ了怎辦？▼ 
阿高:算惹算惹～那麼複雜的事情就交給聰明蛋惹～▼",,,,,
4-3-8-2,,阿高房間.jpg,阿高姊姊.png,阿高姐姐:阿高，你在家喔？▼ ,,,,,
4-3-8-3,旁白,阿高房間.jpg,,"阿高姐姐回來了，阿高抖了一下。▼ 
我現在好像知道那個娃哭娃哭是誰了。 ▼ ",,,,,
4-3-8-4,,阿高房間.jpg,阿高.png,"團長:阿高！老師不是有說過不能盜用別人帳號？快把電腦關起來！▼ 
阿高:好！▼ ",,,,,
4-3-9,旁白,回家路上.jpg,,"走出阿高家之後，又開始緊張了起來▼ 
沒時間了，這次我要做出對的選擇。▼",(4-1-2),,,,
4-4,阿哲房間,阿哲房間-夜.jpg,,,,,,,
4-4-1,旁白,阿哲房間-夜.jpg,,"阿哲是班上最強的手遊達人，他的帳號肯定值不少錢。
那個帳號應該花了他很多心血，要他賣掉，我覺得很對不起他，
但又沒有其他辦法……我該怎麼辦呢？▼
是不是應該找阿哲談談？唉！
我在阿哲家門口來回繞圈，邊走邊煩惱該不該去找他。▼
",,,,,
4-4-1-1,,阿哲房間-夜.jpg,阿哲.png,"阿哲:「團長大人你在幹嘛。」▼
團長:「阿哲……我超煩惱！」▼
阿哲:「團長大人先進門再說吧。」▼",,,,,
4-4-1-2,旁白,阿哲房間-夜.jpg,阿哲.png,"我們走進了阿哲的房間，阿哲請我在地板上坐著之後，鑽到他的床底下拖出一個紙箱。紙箱裡面被細心的隔成一個個小格子，每個小格子裡面都是精緻的美少女景品。▼
他小心翼翼地從箱子中拿出了幾尊景品，在我的座位的周遭放了六尊，把我整個人圍起來，其餘公仔則放在他的電腦桌旁邊。▼
阿哲:在下煩惱的時候都會這樣。
阿哲:團長大人可以閉上眼睛，想像著鬼娘、公主、女騎士、兔女郎圍著你，她們正在幫你加油。怎麼樣，是不是很紓壓？▼",,,,,
